estimate_year,index,CA_037,CA_059,DC_001,DE_003,FL_011,FL_086,FL_099,GA_013,GA_015,GA_035,GA_045,GA_057,GA_063,GA_067,GA_077,GA_085,GA_089,GA_097,GA_113,GA_117,GA_121,GA_135,GA_143,GA_149,GA_151,GA_159,GA_171,GA_199,GA_211,GA_217,GA_223,GA_227,GA_231,GA_247,GA_255,GA_297,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,MA_009,MA_017,MA_021,MA_023,MA_025,MD_009,MD_015,MD_017,MD_021,MD_031,MD_033,MSA,NH_015,NH_017,NJ_003,NJ_005,NJ_007,NJ_013,NJ_015,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_033,NJ_035,NJ_037,NJ_039,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,PA_017,PA_029,PA_045,PA_091,PA_101,PA_103,TX_015,TX_039,TX_071,TX_085,TX_113,TX_121,TX_139,TX_157,TX_167,TX_201,TX_221,TX_231,TX_251,TX_257,TX_291,TX_339,TX_367,TX_397,TX_425,TX_439,TX_473,TX_497,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WI_059,WV_037
2005-2009,B01001_48_80_to_84_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,12930,,,8711,,6171,1311,10036,7895,5580,12135,5347,,3398,1235,7151,14138,3339,28381,21145,19311,3633,952,28947,5743,2826,16925,12919,,,,,,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_49_85_years_and_over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,14077,,,8729,,6082,1295,9053,8672,5848,11366,6078,,4088,1305,7134,13932,3455,28483,19529,20388,3331,857,29655,5059,4097,18205,14588,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B02001_1_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,888546,,,771353,,593615,129517,781957,641984,485828,565428,488793,,320712,151239,522050,1381529,292187,2538140,1354141,1620962,376548,99111,2278860,483168,297298,1511028,949050,,,,,,58335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B02001_2_white_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,659748,,,329018,,347379,118079,492555,532125,407037,516550,291937,,237661,141647,312623,316199,235182,1126718,1023614,928434,294557,88554,1028849,367786,229106,1269054,657161,,,,,,52683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B02001_3_black_or_african_american_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,50669,,,315535,,80978,3590,75852,49335,15227,18954,61033,,27363,2857,111598,469392,27836,881807,146724,248683,36184,2293,437670,47962,33701,109305,133096,,,,,,2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B02001_4_american_indian_and_alaska_native_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,1138,,,2143,,2266,122,1478,1663,998,626,1003,,450,232,1001,5734,299,6947,2070,5748,861,0,9458,887,635,3581,1228,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B02001_5_asian_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,124711,,,33267,,66331,4153,143591,32487,40611,9903,22479,,39357,2937,23498,47965,9654,231801,91418,165282,8891,1608,487209,35904,18598,50872,53021,,,,,,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B02001_6_native_hawaiian_and_other_pacific_islander_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,283,,,222,,77,18,419,202,510,104,65,,9,0,358,324,77,792,29,596,42,36,654,0,203,331,201,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B02001_7_some_other_race_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,37374,,,73752,,84892,2118,54087,15841,14737,12344,104731,,11364,2249,65775,503497,13061,251865,71607,225498,26352,4011,267757,24251,11670,56196,86628,,,,,,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B02001_8_two_or_more_races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,14623,,,17416,,11692,1437,13975,10331,6708,6947,7545,,4508,1317,7197,38418,6078,38210,18679,46721,9661,2609,47263,6378,3385,21689,17715,,,,,,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B02001_9_two_races_including_some_other_race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,3974,,,4967,,4480,71,4259,1790,2146,2378,2976,,1033,268,2800,22981,927,12489,4855,12032,2658,841,18072,1755,1264,6182,5630,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,10649,,,12449,,7212,1366,9716,8541,4562,4569,4569,,3475,1049,4397,15437,5151,25721,13824,34689,7003,1768,29191,4623,2121,15507,12085,,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11001_1_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,333412,,,278722,,230449,46786,271722,231057,174940,220656,159616,,113514,55079,183687,472913,102856,885197,435764,742486,123349,33864,779776,166783,94154,478858,338527,,,,,,22940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11001_2_family_households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,236314,,,184756,,137952,34273,194670,162226,127502,150745,113325,,82523,41539,129444,311354,70509,568213,334876,300335,89903,25819,528428,124604,70912,362602,231869,,,,,,16790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11001_3_married-couple_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,189599,,,111074,,85524,29917,152462,131185,108107,122937,78579,,68895,34856,90862,132036,55656,333181,271146,194066,69850,21371,353248,93779,57494,290791,176666,,,,,,12950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11001_4_other_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,46715,,,73682,,52428,4356,42208,31041,19395,27808,34746,,13628,6683,38582,179318,14853,235032,63730,106269,20053,4448,175180,30825,13418,71811,55203,,,,,,3840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B11001_5_male_householder,_no_wife_present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,12201,,,17719,,14619,1291,11961,8712,5460,7978,9133,,3575,2132,10637,34649,4805,50582,17231,22389,5729,1513,50256,7729,3863,20798,13609,,,,,,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B11001_6_female_householder,_no_husband_present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,34514,,,55963,,37809,3065,30247,22329,13935,19830,25613,,10053,4551,27945,144669,10048,184450,46499,83880,14324,2935,124924,23096,9555,51013,41594,,,,,,2784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11001_7_nonfamily_households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,97098,,,93966,,92497,12513,77052,68831,47438,69911,46291,,30991,13540,54243,161559,32347,316984,100888,442151,33446,8045,251348,42179,23242,116256,106658,,,,,,6150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11001_8_householder_living_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,84384,,,81337,,72802,10500,62741,58506,40180,60778,39515,,26123,11032,47410,141450,26161,260785,87602,369867,27461,6664,206949,35891,19989,94952,92226,,,,,,4866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11001_9_householder_not_living_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,12714,,,12629,,19695,2013,14311,10325,7258,9133,6776,,4868,2508,6833,20109,6186,56199,13286,72284,5985,1381,44399,6288,3253,21304,14432,,,,,,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_1_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,620050,,,505282,,415199,88068,526427,430931,329569,394114,318454,,216890,101406,348753,845901,193399,1661225,915019,1214754,232218,66699,1595437,326594,186415,1005879,637347,,,,,,40400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_2_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,294570,,,235381,,202006,42927,255688,206146,159674,182782,151619,,104867,49895,165567,376421,96461,754341,433870,570014,114152,33172,757990,155394,89759,486803,299815,,,,,,19941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_3_no_schooling_completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,1696,,,2844,,2642,344,2621,1034,785,1064,2671,,760,223,2114,9972,613,16675,4017,9906,1126,232,12453,1400,1429,4554,2391,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_4_nursery_to_4th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,1988,,,4430,,3015,160,1760,1113,611,632,2048,,480,105,2657,10134,813,10957,3149,6290,1192,104,10754,500,689,3207,2486,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_5_5th_and_6th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,4048,,,6408,,6805,170,4088,2576,1233,1571,4099,,1155,231,5358,17903,1155,26656,8367,13115,1468,219,30257,2305,1202,6651,9087,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_6_7th_and_8th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,5121,,,7090,,7120,445,5225,3174,1637,3171,6546,,1055,631,4095,19944,1785,27740,6177,15905,2108,225,21690,2943,1378,7070,5962,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_7_9th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,2371,,,4736,,4201,326,2662,2042,817,2355,2897,,582,531,2606,13220,1724,19449,4096,8468,2264,296,15929,1909,1219,5991,4246,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_8_10th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,3658,,,6183,,4596,445,4733,3413,2053,3942,3934,,1473,608,3671,14335,2098,22651,4845,10059,2274,445,20589,3018,1406,7754,4360,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_9_11th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,3320,,,7846,,4981,587,4411,2953,1680,4052,4148,,1082,834,3027,17614,2068,20507,5363,9351,2872,439,15949,3189,1253,9333,5066,,,,,,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B15002_10_12th_grade,_no_diploma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,5615,,,6346,,5661,383,5158,3564,2239,4956,3935,,992,646,3746,16629,1690,26661,8299,11360,2802,591,25562,4270,1930,9490,5893,,,,,,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B15002_11_high_school_graduate,_ged,_or_alternative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,68710,,,71223,,53615,9753,70047,53017,34482,63841,52445,,24139,17320,50915,115429,29593,219114,104237,76186,37269,9938,221621,50681,21408,146475,69605,,,,,,7996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B15002_12_some_college,_less_than_1_year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,13136,,,9372,,6988,1806,12728,11463,7056,12492,7140,,3929,3290,7430,13805,5093,26894,20251,13093,6538,1830,28573,9142,4371,26738,10282,,,,,,1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B15002_13_some_college,_1_or_more_years,_no_degree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,33986,,,26024,,23360,4650,26330,23922,17344,25649,16460,,9326,6887,18816,45776,11028,77514,53509,47754,15495,4760,84250,21111,11338,64853,30724,,,,,,2605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_14_associate's_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,13946,,,10350,,7846,2410,14732,12294,8180,11427,7315,,5370,2832,7827,20262,8583,44174,30136,17175,8943,2016,49780,11305,6125,38600,15574,,,,,,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_15_bachelor's_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,82447,,,42456,,47087,11698,60192,51735,47291,31804,26037,,29209,9973,31725,39096,17726,136773,105377,170645,17953,7368,144744,27462,20622,90932,65676,,,,,,2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_16_master's_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,33970,,,18125,,17198,6369,28481,22078,23003,11197,7933,,16187,4072,13879,15064,8700,51891,42464,90866,8276,3299,50737,10626,9951,42252,38644,,,,,,1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_17_professional_school_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,14988,,,8701,,4638,1794,6586,8225,7390,3009,2900,,4732,995,4833,4654,2140,18962,26434,49664,2266,896,17436,3938,3853,15019,21890,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_18_doctorate_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,5570,,,3247,,2253,1587,5934,3543,3873,1620,1111,,4396,717,2868,2584,1652,7723,7149,20177,1306,514,7666,1595,1585,7884,7929,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_19_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,325480,,,269901,,213193,45141,270739,224785,169895,211332,166835,,112023,51511,183186,469480,96938,906884,481149,644740,118066,33527,837447,171200,96656,519076,337532,,,,,,20459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_20_no_schooling_completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,1811,,,3575,,3160,105,2962,1281,764,1260,2276,,786,172,2270,11843,861,19348,4347,12569,1050,159,17327,1983,1200,4799,2903,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_21_nursery_to_4th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,2115,,,3938,,4331,100,2573,707,672,848,2511,,578,71,2154,13606,428,14405,4317,9821,884,159,12810,918,770,3369,3070,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_22_5th_and_6th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,4460,,,5819,,7786,60,3673,1753,1480,1512,5900,,1263,103,4123,21661,427,31934,7674,16716,1018,168,32500,2583,1763,5599,7286,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_23_7th_and_8th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,6222,,,7664,,8843,565,6286,3432,2169,3592,7470,,1882,668,5074,22989,1634,33501,7956,17814,2065,247,27575,3426,1512,8207,7348,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_24_9th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,2725,,,5779,,3906,323,2920,2534,1186,2315,3157,,762,456,2879,17985,1306,21849,4154,8860,1583,186,15776,1933,992,5893,3991,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_25_10th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,4367,,,6991,,5977,469,5096,3390,2287,4342,3979,,1518,824,3515,18119,1628,23644,5391,10726,2174,283,22337,3008,1426,7339,5045,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_26_11th_grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,3498,,,9543,,5817,572,4317,3012,1667,4642,4425,,939,678,3855,22058,2207,26135,5968,12044,3431,312,15787,3262,1507,8400,6405,,,,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B15002_27_12th_grade,_no_diploma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,5985,,,6274,,5077,379,5105,3797,2514,5032,3861,,1197,536,4103,16860,1564,28426,9092,10931,2393,276,26153,4671,1949,10415,5959,,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B15002_28_high_school_graduate,_ged,_or_alternative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,87123,,,77817,,59749,11361,81575,66200,43023,85213,59414,,25392,17006,58468,127951,28465,266582,135698,83233,36581,9868,247367,60308,24365,165810,78225,,,,,,7881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B15002_29_some_college,_less_than_1_year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,14489,,,11119,,7641,2367,14311,13366,7651,14713,7977,,5576,3716,9262,19068,4994,32230,21319,14208,7581,1631,31991,9351,4156,28839,12831,,,,,,1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B15002_30_some_college,_1_or_more_years,_no_degree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,33418,,,33803,,23561,4636,27192,25728,17962,24914,17033,,11048,7148,19936,56503,11950,88958,47307,51666,14120,4514,85417,18065,10014,59125,32228,,,,,,2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_31_associate's_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,22312,,,14815,,9745,3404,18832,18020,11458,15371,9520,,8646,4799,11612,33650,11043,65609,40159,27117,12748,3239,63765,14282,8237,50443,23497,,,,,,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_32_bachelor's_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,88330,,,52099,,44934,13281,59820,51933,49640,33278,27823,,31567,10528,36659,54725,17236,157105,100909,197475,18508,6797,153391,26745,20829,85678,74762,,,,,,3112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_33_master's_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,37255,,,23063,,17185,5400,28420,23394,21299,11512,9220,,15699,3997,14731,25507,10783,75338,68408,115139,11923,4696,66426,16538,15149,62374,55738,,,,,,1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_34_professional_school_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,8704,,,5375,,3729,1185,4429,4628,4044,2045,1718,,3214,558,2965,4848,1422,16209,13943,38283,1458,583,13668,3342,1734,8870,12547,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B15002_35_doctorate_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,2666,,,2227,,1752,934,3228,1610,2079,743,551,,1956,251,1580,2107,990,5611,4507,18138,549,409,5157,785,1053,3916,5697,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B19001_1_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,333412,,,278722,,230449,46786,271722,231057,174940,220656,159616,,113514,55079,183687,472913,102856,885197,435764,742486,123349,33864,779776,166783,94154,478858,338527,,,,,,22940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B19001_2_less_than_$10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,13435,,,26534,,19928,874,11042,9495,4090,9825,13557,,2609,1718,10409,81872,4699,115153,13791,76453,5821,944,54766,10671,3466,15950,15957,,,,,,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B19001_3_$10,000_to_$14,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,10190,,,14344,,13630,871,9082,7553,3718,11058,8497,,2201,1156,6961,40986,3774,64743,11632,40372,5291,608,37219,6102,3038,12436,11948,,,,,,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B19001_4_$15,000_to_$19,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,10660,,,14292,,13103,1048,9060,7522,4810,10731,7779,,2656,1621,6997,34604,3589,52254,11673,31756,4827,757,38608,6861,3386,13460,11142,,,,,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B19001_5_$20,000_to_$24,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,11137,,,13205,,11435,1163,8265,8100,3783,10879,8345,,3108,1662,7521,30725,3915,49941,12917,29807,4695,976,38919,6058,3298,13639,12257,,,,,,1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B19001_6_$25,000_to_$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,11066,,,13034,,11259,1327,9247,8111,4513,10386,7612,,2754,1749,8573,27506,4230,49129,10784,25864,5034,945,38349,5725,3302,13192,12197,,,,,,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
